id;numero_ot;codigo_actividad;Prioridad;frecuencia_new;dia_semana;semana_mes;mes;dia_mes;actividad;duracion;observaciones;fecha_creacion;;;
93;107;AS93;Alta;Mensual;3;1;0;0;Lubricacion de transportador de entrada ;25;Mecánico;2026-01-13 12:11:23;;;
94;107;AS94;Alta;Quincenal;1;2;0;0;Revisión y comprobación de elevador de láminas ;20;Mecánico;2026-01-13 12:11:23;;;
95;107;AS95;Alta;Mensual;6;3;0;0;Verificación de nivel de aceite hidráulico ;10;Mecánico;2026-01-13 12:11:23;;;
96;107;AS96;Alta;Semanal;3;0;0;0;Comprobación de fugas en el sistema neumático e hidráulico ;30;Mecánico;2026-01-13 12:11:23;;;
97;107;AS97;Alta;Quincenal;3;2;0;0;Engrasado de guía circular de la mesa de alineación ;20;Mecánico;2026-01-13 12:11:23;;;
98;107;AS98;Alta;Mensual;3;2;0;0;Lubricacion de transportador de entrada ;25;Mecánico;2026-01-13 12:11:23;;;
99;107;AS99;Alta;Quincenal;1;2;0;0;Revisión y comprobación de elevador de láminas ;20;Mecánico;2026-01-13 12:11:23;;;
100;107;AS100;Alta;Mensual;3;4;0;0;Verificación de nivel de aceite hidráulico ;10;Mecánico;2026-01-13 12:11:23;;;
101;107;AS101;Alta;Quincenal;1;1;0;0;Comprobación de cojinetes del rodillo superior de expulsión ;60;Mecánico;2026-01-13 12:11:23;;;
102;107;AS102;Alta;Semanal;2;0;0;0;Comprobación de fugas en el sistema neumático ;10;Mecánico;2026-01-13 12:11:23;;;
103;107;AS103;Alta;Semestral;2;3;5;0;Comprobación de sistemas de lubricación ;60;Mecánico;2026-01-13 12:11:23;;;
104;107;AS104;Alta;Quincenal;1;1;0;0;Engrasado de cojinete bridado ;60;Mecánico;2026-01-13 12:11:23;;;
105;107;AS105;Alta;Quincenal;4;2;0;0;Engrasado del cojinete del husillo ;60;Mecánico;2026-01-13 12:11:23;;;
106;107;AS106;Alta;Quincenal;1;1;0;0;Vaciado de separador de agua ;60;Mecánico;2026-01-13 12:11:23;;;
107;129;AS107;Alta;Anual;3;2;6;0;Apretar zonas de transición de corriente atornilladas ;60;Electricista;2026-01-13 12:11:23;;;
108;129;AS108;Alta;Anual;2;4;7;0;Limpieza de mandos electrónicos ;60;Electricista;2026-01-13 12:11:23;;;
109;129;AS109;Alta;Anual;4;3;10;0;Limpieza general de paneles eléctricos ;60;Electricista;2026-01-13 12:11:23;;;
110;129;AS110;Alta;Anual;5;4;6;0;Revisión de bomba de lubricación e hidráulico ;80;Electricista;2026-01-13 12:11:23;;;
111;129;AS111;Alta;Anual;6;3;5;0;Revisión de motores ;80;Electricista;2026-01-13 12:11:23;;;
112;129;AS112;Alta;Anual;3;3;6;0;Apretar zonas de transición de corriente atornilladas ;60;Electricista;2026-01-13 12:11:23;;;
113;129;AS113;Alta;Anual;4;2;2;0;Limpieza de mandos electrónicos ;60;Electricista;2026-01-13 12:11:23;;;
114;129;AS114;Alta;Anual;4;4;6;0;Limpieza general de paneles eléctricos ;60;Electricista;2026-01-13 12:11:23;;;
115;129;AS115;Alta;Anual;4;2;2;0;Revisión de bomba de lubricación e hidráulico ;80;Electricista;2026-01-13 12:11:23;;;
116;129;AS116;Alta;Anual;6;1;8;0;Revisión de motores ;80;Electricista;2026-01-13 12:11:23;;;
117;129;AS117;Alta;Anual;5;1;12;0;Apretar zonas de transición de corriente atornilladas ;60;Electricista;2026-01-13 12:11:23;;;
118;129;AS118;Alta;Anual;1;1;5;0;Limpieza de mandos electrónicos ;60;Electricista;2026-01-13 12:11:23;;;
119;129;AS119;Alta;Anual;4;4;12;0;Limpieza general de paneles eléctricos ;60;Electricista;2026-01-13 12:11:23;;;
120;129;AS120;Alta;Anual;4;3;12;0;Revisión de motores ;60;Electricista;2026-01-13 12:11:23;;;
121;100;AS121;Alta;Diaria;0;0;0;0;Limpieza de posicionador o apilador ;2;Operador;2026-01-13 12:11:23;;;
122;100;AS122;Alta;Diaria;0;0;0;0;Limpieza de residuos ;5;Operador;2026-01-13 12:11:23;;;
123;108;AS123;Alta;Semanal;2;0;0;0;Comprobación de fugas en el sistema neumático ;10;Mecánico;2026-01-13 12:11:23;;;
124;108;AS124;Alta;Semanal;4;0;0;0;Comprobación de la unidad de mantenimiento neumático ;10;Mecánico;2026-01-13 12:11:23;;;
125;108;AS125;Alta;Mensual;3;3;0;0;Comprobación de las uniones roscadas ;10;Mecánico;2026-01-13 12:11:23;;;
126;108;AS126;Alta;Mensual;6;1;0;0;Comprobación y verificación de fajas ;10;Mecánico;2026-01-13 12:11:23;;;
127;108;AS127;Alta;Semanal;6;0;0;0;Verificación de cojines, rodillos, tensores y sprocket ;10;Mecánico;2026-01-13 12:11:23;;;
128;135;AS128;Alta;Anual;2;3;9;0;Apretar zonas de transición de corriente atornilladas ;30;Electricista;2026-01-13 12:11:23;;;
129;135;AS129;Alta;Anual;1;1;2;0;Limpieza general de paneles eléctricos ;30;Electricista;2026-01-13 12:11:23;;;
130;135;AS130;Alta;Anual;4;4;12;0;Limpieza los mandos electrónicos ;30;Electricista;2026-01-13 12:11:23;;;
131;135;AS131;Alta;Anual;5;3;1;0;Revisión de motor ;30;Electricista;2026-01-13 12:11:23;;;
132;101;AS132;Alta;Diaria;0;0;0;0;Limpieza de residuos ;5;Operador;2026-01-13 12:11:23;;;
133;110;AS133;Alta;Semestral;2;1;1;0;Comprobación de sistema de lubricación ;30;Mecánico;2026-01-13 12:11:23;;;
134;110;AS134;Alta;Mensual;5;3;0;0;Comprobación y verificación de fajas ;10;Mecánico;2026-01-13 12:11:23;;;
135;110;AS135;Alta;Semanal;2;0;0;0;Verificación de cojines, rodillos, tensores y sprocket ;5;Mecánico;2026-01-13 12:11:23;;;
136;141;AS136;Alta;Anual;6;1;7;0;Apretar zonas de transición de corriente atornilladas ;30;Electricista;2026-01-13 12:11:23;;;
